Time,Hcell,Sample,Abs_raw,Abs,C_sample,C_original
36,H2_C2,PES_P25G00_AO_S2,0.385,0.353,26.742,267.424
42,H2_C2,PES_P25G00_AO_S2,0.417,0.385,29.167,291.667
48,H2_C2,PES_P25G00_AO_S2,0.439,0.406,30.758,307.576
54,H2_C2,PES_P25G00_AO_S2,0.462,0.43,32.576,325.758
60,H2_C2,PES_P25G00_AO_S2,0.484,0.452,34.242,342.424
66,H2_C2,PES_P25G00_AO_S2,0.494,0.461,34.924,349.242
0,H3_C1,PES_P25G00_AO_S3,1.107,1.076,81.515,815.152
6,H3_C1,PES_P25G00_AO_S3,0.994,0.961,72.803,728.03
12,H3_C1,PES_P25G00_AO_S3,0.93,0.898,68.03,680.303
18,H3_C1,PES_P25G00_AO_S3,0.892,0.859,65.076,650.758
24,H3_C1,PES_P25G00_AO_S3,0.821,0.788,59.697,596.97
30,H3_C1,PES_P25G00_AO_S3,0.79,0.758,57.424,574.242
36,H3_C1,PES_P25G00_AO_S3,0.741,0.709,53.712,537.121
42,H3_C1,PES_P25G00_AO_S3,0.734,0.702,53.182,531.818
48,H3_C1,PES_P25G00_AO_S3,0.7,0.667,50.53,505.303
54,H3_C1,PES_P25G00_AO_S3,0.67,0.638,48.333,483.333
60,H3_C1,PES_P25G00_AO_S3,0.656,0.623,47.197,471.97
66,H3_C1,PES_P25G00_AO_S3,0.641,0.608,46.061,460.606
0,H3_C2,PES_P25G00_AO_S3,0.033,0.002,0.152,1.515
6,H3_C2,PES_P25G00_AO_S3,0.119,0.086,6.515,65.152
12,H3_C2,PES_P25G00_AO_S3,0.187,0.154,11.667,116.667
18,H3_C2,PES_P25G00_AO_S3,0.244,0.212,16.061,160.606
24,H3_C2,PES_P25G00_AO_S3,0.291,0.259,19.621,196.212
30,H3_C2,PES_P25G00_AO_S3,0.336,0.304,23.03,230.303
36,H3_C2,PES_P25G00_AO_S3,0.376,0.344,26.061,260.606
42,H3_C2,PES_P25G00_AO_S3,0.411,0.379,28.712,287.121
48,H3_C2,PES_P25G00_AO_S3,0.435,0.402,30.455,304.545
54,H3_C2,PES_P25G00_AO_S3,0.462,0.429,32.5,325.0
60,H3_C2,PES_P25G00_AO_S3,0.481,0.448,33.939,339.394
66,H3_C2,PES_P25G00_AO_S3,0.49,0.458,34.697,346.97
0,H4_C1,PES_P25G00_AO_S4,1.107,1.076,81.515,815.152
6,H4_C1,PES_P25G00_AO_S4,1.026,0.994,75.303,753.03
12,H4_C1,PES_P25G00_AO_S4,0.972,0.939,71.136,711.364
18,H4_C1,PES_P25G00_AO_S4,0.924,0.892,67.576,675.758
24,H4_C1,PES_P25G00_AO_S4,0.859,0.827,62.652,626.515
30,H4_C1,PES_P25G00_AO_S4,0.819,0.787,59.621,596.212
36,H4_C1,PES_P25G00_AO_S4,0.78,0.748,56.667,566.667
42,H4_C1,PES_P25G00_AO_S4,0.773,0.741,56.136,561.364
48,H4_C1,PES_P25G00_AO_S4,0.732,0.7,53.03,530.303
54,H4_C1,PES_P25G00_AO_S4,0.717,0.684,51.818,518.182
60,H4_C1,PES_P25G00_AO_S4,0.691,0.658,49.848,498.485
66,H4_C1,PES_P25G00_AO_S4,0.683,0.65,49.242,492.424
0,H4_C2,PES_P25G00_AO_S4,0.032,0.001,0.076,0.758
6,H4_C2,PES_P25G00_AO_S4,0.103,0.071,5.379,53.788
12,H4_C2,PES_P25G00_AO_S4,0.168,0.135,10.227,102.273
18,H4_C2,PES_P25G00_AO_S4,0.22,0.188,14.242,142.424
24,H4_C2,PES_P25G00_AO_S4,0.265,0.233,17.652,176.515
30,H4_C2,PES_P25G00_AO_S4,0.31,0.278,21.061,210.606
36,H4_C2,PES_P25G00_AO_S4,0.346,0.314,23.788,237.879
42,H4_C2,PES_P25G00_AO_S4,0.368,0.336,25.455,254.545
48,H4_C2,PES_P25G00_AO_S4,0.396,0.363,27.5,275.0
54,H4_C2,PES_P25G00_AO_S4,0.42,0.387,29.318,293.182
60,H4_C2,PES_P25G00_AO_S4,0.448,0.415,31.439,314.394
66,H4_C2,PES_P25G00_AO_S4,0.457,0.424,32.121,321.212
